ID,OMIM_ID,Name
0,D102100,"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
1,D102300,"Restless Legs Syndrome, Susceptibility To, 1; Rls1"
2,D102400,Acroosteolysis
3,D102500,Hajdu-Cheney Syndrome; Hjcys
4,D103100,Adie Pupil
5,D103230,"Adrenocortical Hypofunction, Chronic Primary Congenital"
6,D103285,Adult Syndrome
7,D103780,Alcohol Dependence
8,D104130,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
9,D104300,"Alzheimer Disease, Familial, 1; Ad1"
10,D104310,Alzheimer Disease 2; Ad2
11,D106100,"Angioedema, Hereditary, 1; Hae1"
12,D106400,Ankylosing Vertebral Hyperostosis With Tylosis
13,D107320,"Antiphospholipid Syndrome, Familial"
14,D107550,"Aortic Arch Interruption, Facial Palsy, And Retinal Coloboma"
15,D107650,"Apnea, Obstructive Sleep"
16,D109100,Autoimmune Disease
17,D109200,"Alopecia, Androgenetic, 1; Aga1"
18,D109350,Gastroesophageal Reflux; Ger
19,D109543,"Leukemia, Chronic Lymphocytic, Susceptibility To, 2"
20,D109800,Bladder Cancer
21,D110100,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
22,D113610,Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia
23,D113800,Epidermolytic Hyperkeratosis 1; Ehk1
24,D114480,Breast Cancer
25,D114500,Colorectal Cancer; Crc
26,D114550,Hepatocellular Carcinoma
27,D114580,"Candidiasis, Familial, 1; Candf1"
28,D115000,Ventricular Arrhythmias Due To Cardiac Ryanodine Receptor Calcium Release Deficiency Syndrome; Vacrds
29,D115195,"Cardiomyopathy, Familial Hypertrophic, 2; Cmh2"
30,D115300,"Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant; Hcvad"
31,D115645,"Cataract, Aberrant Oral Frenula, And Growth Retardation"
32,D119500,Popliteal Pterygium Syndrome; Pps
33,D121200,"Seizures, Benign Familial Neonatal, 1; Bfns1"
34,D121201,"Seizures, Benign Familial Neonatal, 2; Bfns2"
35,D124200,Darier-White Disease; Dar
36,D125310,"Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts And Leukoencephalopathy, Type 1; Cadasil1"
37,D125320,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
38,D125600,Dermatosis Papulosa Nigra
39,D125700,"Diabetes Insipidus, Neurohypophyseal"
40,D125850,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
