ID,DrugBank_ID,Name
0,DB00014,Goserelin
1,DB00035,Desmopressin
2,DB00091,Cyclosporine
3,DB00104,Octreotide
4,DB00115,Cyanocobalamin
5,DB00122,Choline
6,DB00125,Arginine
7,DB00126,Ascorbic acid
8,DB00131,Adenosine phosphate
9,DB00136,Calcitriol
10,DB00140,Riboflavin
11,DB00141,N-Acetylglucosamine
12,DB00146,Calcifediol
13,DB00152,Thiamine
14,DB00153,Ergocalciferol
15,DB00158,Folic acid
16,DB00159,Icosapent
17,DB00160,Alanine
18,DB00162,Vitamin A
19,DB00163,Vitamin E
20,DB00165,Pyridoxine
21,DB00167,Isoleucine
22,DB00169,Cholecalciferol
23,DB00175,Pravastatin
24,DB00176,Fluvoxamine
25,DB00177,Valsartan
26,DB00178,Ramipril
27,DB00179,Masoprocol
28,DB00180,Flunisolide
29,DB00181,Baclofen
30,DB00182,Amphetamine
31,DB00186,Lorazepam
32,DB00187,Esmolol
33,DB00188,Bortezomib
34,DB00190,Carbidopa
35,DB00191,Phentermine
36,DB00193,Tramadol
37,DB00195,Betaxolol
38,DB00199,Erythromycin
39,DB00200,Hydroxocobalamin
40,DB00201,Caffeine
41,DB00203,Sildenafil
42,DB00204,Dofetilide
43,DB00206,Reserpine
44,DB00208,Ticlopidine
45,DB00210,Adapalene
46,DB00211,Midodrine
47,DB00213,Pantoprazole
48,DB00214,Torasemide
49,DB00215,Citalopram
50,DB00216,Eletriptan
51,DB00218,Moxifloxacin
52,DB00221,Isoetharine
53,DB00222,Glimepiride
54,DB00226,Guanadrel
55,DB00227,Lovastatin
56,DB00230,Pregabalin
57,DB00232,Methyclothiazide
58,DB00236,Pipobroman
59,DB00240,Alclometasone
60,DB00241,Butalbital
61,DB00242,Cladribine
62,DB00244,Mesalazine
63,DB00245,Benzatropine
64,DB00246,Ziprasidone
65,DB00248,Cabergoline
66,DB00252,Phenytoin
67,DB00253,Medrysone
68,DB00255,Diethylstilbestrol
69,DB00257,Clotrimazole
70,DB00262,Carmustine
